a0,md12,md21,sigma,rho,tmp,rhoS,Neff,pd1,pd2,s1,s2,r1,r2
0.049787068367863944,0.0,0.0,0.2,-0.4,"(ρ = -0.4000000000000001, ξ = [6.326859220488736e-52, 7.058048810881675e-52], Nₑ = 501.01795551877734, s = [1.0752921476312017e-53, 9.087328837869655e-54], r = [0.05034417838927532, 0.04956995766743484])",-0.4000000000000001,501.01795551877734,1.0,1.0,1.0752921476312017e-53,9.087328837869655e-54,0.05034417838927532,0.04956995766743484
0.049787068367863944,0.0,0.0,0.2,0.0,"(ρ = 0.0, ξ = [1.0716518290466557e-51, 8.903540682506446e-52], Nₑ = 787.0043780879311, s = [1.17565738113906e-53, 1.0378710978362873e-53], r = [0.04965452284150464, 0.04979619782365448])",0.0,787.0043780879311,1.0,1.0,1.17565738113906e-53,1.0378710978362873e-53,0.04965452284150464,0.04979619782365448
0.049787068367863944,0.0,0.0,0.2,0.4,"(ρ = 0.39999999999999997, ξ = [8.22827834345374e-52, 7.450243223965012e-52], Nₑ = 1148.2160693648893, s = [1.1725901271375772e-53, 9.8962738763878e-54], r = [0.049702564323778446, 0.04969083451620181])",0.39999999999999997,1148.2160693648893,1.0,1.0,1.1725901271375772e-53,9.8962738763878e-54,0.049702564323778446,0.04969083451620181
0.049787068367863944,0.0,0.0,0.2,0.8,"(ρ = 0.8000000000000002, ξ = [8.491356735139376e-52, 7.109248302430814e-52], Nₑ = 2269.755684477669, s = [1.0989000206476776e-53, 9.234363762280658e-54], r = [0.049532000783211634, 0.049593364910188176])",0.8000000000000002,2269.755684477669,1.0,1.0,1.0989000206476776e-53,9.234363762280658e-54,0.049532000783211634,0.049593364910188176
0.049787068367863944,0.0,0.0,0.4,-0.4,"(ρ = -0.4000000000000001, ξ = [6.994862319216968e-15, 6.71356551245477e-15], Nₑ = 1940.547142854273, s = [3.4098750185650974e-16, 3.503810763585705e-16], r = [0.04992989778994931, 0.04985437717671632])",-0.4000000000000001,1940.547142854273,0.999999999999993,0.9999999999999933,3.4098750185650974e-16,3.503810763585705e-16,0.04992989778994931,0.04985437717671632
0.049787068367863944,0.0,0.0,0.4,0.0,"(ρ = 0.0, ξ = [6.680229724738244e-15, 6.754264406274134e-15], Nₑ = 2968.8938969719266, s = [3.5040446036977655e-16, 3.4588200215204686e-16], r = [0.04958834781239914, 0.049700140334349045])",0.0,2968.8938969719266,0.9999999999999933,0.9999999999999932,3.5040446036977655e-16,3.4588200215204686e-16,0.04958834781239914,0.049700140334349045
0.049787068367863944,0.0,0.0,0.4,0.4,"(ρ = 0.4000000000000001, ξ = [6.5484439076222656e-15, 7.127812468846164e-15], Nₑ = 4463.46179725191, s = [3.501246777426614e-16, 3.5780078265827426e-16], r = [0.04973123348859362, 0.05002998884157653])",0.4000000000000001,4463.46179725191,0.9999999999999934,0.9999999999999929,3.501246777426614e-16,3.5780078265827426e-16,0.04973123348859362,0.05002998884157653
0.049787068367863944,0.0,0.0,0.4,0.8,"(ρ = 0.8, ξ = [6.8470774238986876e-15, 6.885856968251303e-15], Nₑ = 8216.864474058772, s = [3.620822931868676e-16, 3.6707343351387e-16], r = [0.04986991085462938, 0.04983864017491362])",0.8,8216.864474058772,0.9999999999999931,0.9999999999999931,3.620822931868676e-16,3.6707343351387e-16,0.04986991085462938,0.04983864017491362
0.049787068367863944,0.0,0.2,0.2,-0.4,"(ρ = -0.39756437650870735, ξ = [9.769528874891681e-52, 7.575004593436055e-52], Nₑ = 529.2936590549291, s = [1.1922708784591182e-53, 9.894921009669336e-54], r = [0.04943517039852583, 0.05959986773281399])",-0.39756437650870735,529.2936590549291,1.0,1.0,1.1922708784591182e-53,9.894921009669336e-54,0.04943517039852583,0.05959986773281399
0.049787068367863944,0.0,0.2,0.2,0.0,"(ρ = 0.010154835723131509, ξ = [9.544957551085433e-52, 1.2772058095842614e-51], Nₑ = 826.5434954110259, s = [9.918803728775327e-54, 1.6863985358546107e-53], r = [0.04982312590540988, 0.05957756906759754])",0.010154835723131509,826.5434954110259,1.0,1.0,9.918803728775327e-54,1.6863985358546107e-53,0.04982312590540988,0.05957756906759754
0.049787068367863944,0.0,0.2,0.2,0.4,"(ρ = 0.43062477127208765, ξ = [8.438436522776574e-52, 9.751728269705916e-51], Nₑ = 1321.8478898822711, s = [1.1013872062482964e-53, 1.3573680963008318e-52], r = [0.04990478251068264, 0.059687774036497526])",0.43062477127208765,1321.8478898822711,1.0,1.0,1.1013872062482964e-53,1.3573680963008318e-52,0.04990478251068264,0.059687774036497526
0.049787068367863944,0.0,0.2,0.2,0.8,"(ρ = 0.8390880797706671, ξ = [8.639940922837273e-52, 4.497091505291301e-48], Nₑ = 3469.224145901371, s = [1.093759810475308e-53, 5.81293733854435e-50], r = [0.04967698841286377, 0.05959934462502494])",0.8390880797706671,3469.224145901371,1.0,1.0,1.093759810475308e-53,5.81293733854435e-50,0.04967698841286377,0.05959934462502494
0.049787068367863944,0.0,0.2,0.4,-0.4,"(ρ = -0.39778979314914253, ξ = [6.6780318008932105e-15, 8.16598584109149e-15], Nₑ = 2067.389897625639, s = [3.5617382528996937e-16, 3.920902196594318e-16], r = [0.050114877299311106, 0.05939851628553326])",-0.39778979314914253,2067.389897625639,0.9999999999999933,0.9999999999999918,3.5617382528996937e-16,3.920902196594318e-16,0.050114877299311106,0.05939851628553326
