a0,md12,md21,sigma,rho,tmp,rhoS,Neff,pd1,pd2
0.049787068367863944,0,0,0.2,-0.4,"(ρ = -0.39999999999999997, ξ = [8.4842e-52, 6.08029e-52], Nₑ = 980.5009000588418)",-0.39999999999999997,980.5009000588418,1,1
0.049787068367863944,0,0,0.2,0,"(ρ = 0.0, ξ = [8.3177e-52, 7.24426e-52], Nₑ = 1518.3221651254237)",0,1518.3221651254237,1,1
0.049787068367863944,0,0,0.2,0.4,"(ρ = 0.39999999999999997, ξ = [9.53338e-52, 8.72354e-52], Nₑ = 2302.3314329327322)",0.39999999999999997,2302.3314329327322,1,1
0.049787068367863944,0,0,0.2,0.8,"(ρ = 0.8000000000000002, ξ = [8.62498e-52, 7.22217e-52], Nₑ = 4536.443818253839)",0.8000000000000002,4536.443818253839,1,1
0.049787068367863944,0,0,0.4,-0.4,"(ρ = -0.4000000000000001, ξ = [7.09162e-15, 7.13663e-15], Nₑ = 3730.1699417963687)",-0.4000000000000001,3730.1699417963687,0.9999999999999929,0.9999999999999929
0.049787068367863944,0,0,0.4,0,"(ρ = 0.0, ξ = [6.61648e-15, 7.33872e-15], Nₑ = 5859.796016461151)",0,5859.796016461151,0.9999999999999933,0.9999999999999927
0.049787068367863944,0,0,0.4,0.4,"(ρ = 0.39999999999999997, ξ = [6.74213e-15, 7.22861e-15], Nₑ = 8850.090904497087)",0.39999999999999997,8850.090904497087,0.9999999999999932,0.9999999999999928
0.049787068367863944,0,0,0.4,0.8,"(ρ = 0.7999999999999999, ξ = [6.76508e-15, 6.7151e-15], Nₑ = 16715.75401635717)",0.7999999999999999,16715.75401635717,0.9999999999999932,0.9999999999999933
0.049787068367863944,0,0.2,0.2,-0.4,"(ρ = -0.3975259338805037, ξ = [8.94192e-52, 9.29014e-52], Nₑ = 1065.5170207859544)",-0.3975259338805037,1065.5170207859544,1,1
0.049787068367863944,0,0.2,0.2,0,"(ρ = 0.010507000570180844, ξ = [7.5005e-52, 1.60114e-51], Nₑ = 1691.9199063346878)",0.010507000570180844,1691.9199063346878,1,1
0.049787068367863944,0,0.2,0.2,0.4,"(ρ = 0.43064435697679465, ξ = [8.25493e-52, 9.89614e-51], Nₑ = 2689.4515474848167)",0.43064435697679465,2689.4515474848167,1,1
0.049787068367863944,0,0.2,0.2,0.8,"(ρ = 0.839400071097677, ξ = [8.61525e-52, 3.39399e-48], Nₑ = 6909.043285827381)",0.839400071097677,6909.043285827381,1,1
0.049787068367863944,0,0.2,0.4,-0.4,"(ρ = -0.39764949046826553, ξ = [7.00366e-15, 5.88442e-15], Nₑ = 4032.359228160823)",-0.39764949046826553,4032.359228160823,0.999999999999993,0.9999999999999941
0.049787068367863944,0,0.2,0.4,0,"(ρ = 0.010008664488703129, ξ = [6.67713e-15, 7.81375e-15], Nₑ = 6370.877007436555)",0.010008664488703129,6370.877007436555,0.9999999999999933,0.9999999999999922
0.049787068367863944,0,0.2,0.4,0.4,"(ρ = 0.43076777768423935, ξ = [6.80385e-15, 1.29953e-14], Nₑ = 9876.558818869044)",0.43076777768423935,9876.558818869044,0.9999999999999932,0.999999999999987
0.049787068367863944,0,0.2,0.4,0.8,"(ρ = 0.8391310783606397, ξ = [6.63221e-15, 5.98792e-14], Nₑ = 21957.32147646056)",0.8391310783606397,21957.32147646056,0.9999999999999933,0.9999999999999402
0.049787068367863944,0,0.4,0.2,-0.4,"(ρ = -0.39507099541560387, ξ = [9.58257e-52, 1.5608e-51], Nₑ = 1093.2482428380522)",-0.39507099541560387,1093.2482428380522,1,1
0.049787068367863944,0,0.4,0.2,0,"(ρ = 0.020754480956824212, ξ = [7.41913e-52, 3.62982e-51], Nₑ = 1804.17444594369)",0.020754480956824212,1804.17444594369,1,1
0.049787068367863944,0,0.4,0.2,0.4,"(ρ = 0.4706020436837084, ξ = [8.40052e-52, 1.98822e-49], Nₑ = 3188.1379534294815)",0.4706020436837084,3188.1379534294815,1,1
0.049787068367863944,0,0.4,0.2,0.8,"(ρ = 0.8713780134432297, ξ = [8.26018e-52, 2.74033e-44], Nₑ = 12483.558172069364)",0.8713780134432297,12483.558172069364,1,1
0.049787068367863944,0,0.4,0.4,-0.4,"(ρ = -0.39541757786276116, ξ = [7.6945e-15, 7.4122e-15], Nₑ = 4283.501064127217)",-0.39541757786276116,4283.501064127217,0.9999999999999923,0.9999999999999926
0.049787068367863944,0,0.4,0.4,0,"(ρ = 0.020613407700877603, ξ = [6.82602e-15, 1.00472e-14], Nₑ = 7030.308460281953)",0.020613407700877603,7030.308460281953,0.9999999999999932,0.99999999999999
0.049787068367863944,0,0.4,0.4,0.4,"(ρ = 0.46837085790459093, ξ = [6.96659e-15, 2.7859e-14], Nₑ = 12002.785721543243)",0.46837085790459093,12002.785721543243,0.999999999999993,0.9999999999999721
0.049787068367863944,0,0.4,0.4,0.8,"(ρ = 0.8769002948999676, ξ = [6.7516e-15, 5.35327e-13], Nₑ = 24953.677968499822)",0.8769002948999676,24953.677968499822,0.9999999999999932,0.9999999999994647
0.049787068367863944,0,0.6,0.2,-0.4,"(ρ = -0.39252470627901337, ξ = [7.45214e-52, 1.3268e-51], Nₑ = 1268.6480493117058)",-0.39252470627901337,1268.6480493117058,1,1
0.049787068367863944,0,0.6,0.2,0,"(ρ = 0.03392669475317792, ξ = [7.93225e-52, 8.63056e-51], Nₑ = 2105.515480939135)",0.03392669475317792,2105.515480939135,1,1
