a0,md12,md21,sigma,rho,tmp,rhoS,Neff,pd1,pd2,s1,s2,r1,r2
0.049787068367863944,0.0,0.0,0.2,-0.4,"(ρ = -0.4, ξ = [8.561407458242006e-52, 9.431519075050764e-52], Nₑ = 504.89164425938776, s = [1.2462915463444415e-53, 7.33350804712245e-54], r = [0.04949639076366678, 0.0499576276335486])",-0.4,504.89164425938776,1.0,1.0,1.2462915463444415e-53,7.33350804712245e-54,0.04949639076366678,0.0499576276335486
0.049787068367863944,0.0,0.0,0.2,0.0,"(ρ = 2.567029943264685e-52, ξ = [8.114836086060377e-52, 1.0257348344680909e-51], Nₑ = 728.5024073963431, s = [9.716035191771962e-54, 1.1598662674222728e-53], r = [0.04956203848274494, 0.04933642254006997])",2.567029943264685e-52,728.5024073963431,1.0,1.0,9.716035191771962e-54,1.1598662674222728e-53,0.04956203848274494,0.04933642254006997
0.049787068367863944,0.0,0.0,0.2,0.4,"(ρ = 0.4000000000000001, ξ = [8.165790840464156e-52, 1.0157775610412363e-51], Nₑ = 1186.2050979224696, s = [1.1798562831915173e-53, 1.2787261293348916e-53], r = [0.04970614694900448, 0.05038237897607811])",0.4000000000000001,1186.2050979224696,1.0,1.0,1.1798562831915173e-53,1.2787261293348916e-53,0.04970614694900448,0.05038237897607811
0.049787068367863944,0.0,0.0,0.2,0.8,"(ρ = 0.8000000457848035, ξ = [6.970256388485448e-52, 8.480698241887373e-52], Nₑ = 2300.078849920944, s = [9.706707866125915e-54, 1.1925217253509885e-53], r = [0.04985625941396138, 0.049935988767490724])",0.8000000457848035,2300.078849920944,1.0,1.0,9.706707866125915e-54,1.1925217253509885e-53,0.04985625941396138,0.049935988767490724
0.049787068367863944,0.0,0.0,0.4,-0.4,"(ρ = -0.4, ξ = [6.8205298783176015e-15, 5.912400389477813e-15], Nₑ = 1924.985024162457, s = [3.839133260299239e-16, 3.5196832654711513e-16], r = [0.0497905224950767, 0.050070794144476176])",-0.4,1924.985024162457,0.9999999999999932,0.9999999999999941,3.839133260299239e-16,3.5196832654711513e-16,0.0497905224950767,0.050070794144476176
0.049787068367863944,0.0,0.0,0.4,0.0,"(ρ = 1.766318131841252e-15, ξ = [6.693315007840768e-15, 6.6938528729226626e-15], Nₑ = 2950.0192508361097, s = [3.635927760470316e-16, 3.4857851283228607e-16], r = [0.04962483414107647, 0.04936782124285052])",1.766318131841252e-15,2950.0192508361097,0.9999999999999933,0.9999999999999933,3.635927760470316e-16,3.4857851283228607e-16,0.04962483414107647,0.04936782124285052
0.049787068367863944,0.0,0.0,0.4,0.4,"(ρ = 0.40000006825520473, ξ = [6.638475225762205e-15, 6.1097572259351605e-15], Nₑ = 4427.825847004875, s = [3.633330358102236e-16, 3.2119763127404966e-16], r = [0.04979529954162662, 0.04974536044390938])",0.40000006825520473,4427.825847004875,0.9999999999999933,0.9999999999999939,3.633330358102236e-16,3.2119763127404966e-16,0.04979529954162662,0.04974536044390938
0.049787068367863944,0.0,0.0,0.4,0.8,"(ρ = 0.8008458977411199, ξ = [6.88388173229025e-15, 6.60185045527274e-15], Nₑ = 8228.676295153522, s = [3.74642880621949e-16, 3.541361709469936e-16], r = [0.04983567434719194, 0.04987852724572059])",0.8008458977411199,8228.676295153522,0.9999999999999931,0.9999999999999934,3.74642880621949e-16,3.541361709469936e-16,0.04983567434719194,0.04987852724572059
0.049787068367863944,0.0,0.2,0.2,-0.4,"(ρ = -0.39756058062440036, ξ = [8.196732832049162e-52, 1.7699589186333598e-51], Nₑ = 516.8179275564974, s = [1.3528584171244704e-53, 2.0622218478957729e-53], r = [0.04882850459404921, 0.05986561736638916])",-0.39756058062440036,516.8179275564974,1.0,1.0,1.3528584171244704e-53,2.0622218478957729e-53,0.04882850459404921,0.05986561736638916
0.049787068367863944,0.0,0.2,0.2,0.0,"(ρ = 0.010048330330019953, ξ = [6.850106244030173e-52, 2.379053892127319e-51], Nₑ = 843.5245759525455, s = [9.857121707336201e-54, 3.023866531078399e-53], r = [0.05029365614292066, 0.059993021263275374])",0.010048330330019953,843.5245759525455,1.0,1.0,9.857121707336201e-54,3.023866531078399e-53,0.05029365614292066,0.059993021263275374
0.049787068367863944,0.0,0.2,0.2,0.4,"(ρ = 0.4302084051277216, ξ = [1.0415536155297339e-51, 1.360492472453638e-50], Nₑ = 1307.6619749849817, s = [1.0981382862233096e-53, 1.6964859533429366e-52], r = [0.04947631910456819, 0.05951918485733079])",0.4302084051277216,1307.6619749849817,1.0,1.0,1.0981382862233096e-53,1.6964859533429366e-52,0.04947631910456819,0.05951918485733079
0.049787068367863944,0.0,0.2,0.2,0.8,"(ρ = 0.8412346113571818, ξ = [8.950372464261656e-52, 3.031210750780066e-48], Nₑ = 3471.0648855460554, s = [1.221650390899219e-53, 4.569038047768126e-50], r = [0.04978021550168591, 0.05978321590500049])",0.8412346113571818,3471.0648855460554,1.0,1.0,1.221650390899219e-53,4.569038047768126e-50,0.04978021550168591,0.05978321590500049
0.049787068367863944,0.0,0.2,0.4,-0.4,"(ρ = -0.397728737546939, ξ = [6.657654783294952e-15, 7.81295258292065e-15], Nₑ = 2109.815908325831, s = [3.2072831989373787e-16, 4.407372574977572e-16], r = [0.04991179877869792, 0.05964833596159868])",-0.397728737546939,2109.815908325831,0.9999999999999933,0.9999999999999922,3.2072831989373787e-16,4.407372574977572e-16,0.04991179877869792,0.05964833596159868
